@id,addr:city,addr:postcode,addr:province,amenity,building,name,note,lon,lat,addr:housename,addr:place,address,cuisine,price,contact,old_name,outdoor_seating,shop,capacity,opening_hours,source,level,addr:housenumber,,website,diet:vegetarian,name:en,addr:floor,survey:date,contact:facebook,email,internet_access,payment:cash,check_date,contact:instagram,contact:phone
node/1964990423,Tagaytay,,,restaurant,,Dimsum n Dumplings Tea Bar,,120.9809999,14.1271711,,,"Km. 58 Emilio Aguinaldo Highway, Tagaytay, Cavite",asian;chinese,high,0917 522 6969,,,,,,,,,,,,,,,,,,,,,
node/1986736303,Talisay,4220,,restaurant,,Milans Grill,,121.027773,14.0933325,,,"#059 Tumaway, Talisay, Luzon 4220 Philippines",filipino,medium,43 7744 932,,,,,,,,,,,,,,,,,,,,,
node/2015024557,Silang,4118,Cavite,restaurant,,Leonarda's,,121.0019964,14.173647,,,Santa Rosa-Tagaytay Road,filipino,low,0905 453 7313,Kitchen World,yes,kitchen,,,,,,,,,,,,,,,,,,
node/2201261371,,,,restaurant,,Mexippines,,121.0129502,14.1828923,,,"Tagaytay - Nasugbu Hwy, Tagaytay, 4120 Cavite",asian,high,0923 726 6290,,,,,,,,,,,,,,,,,,,,,
node/2270328567,Silang,4118,,restaurant,,Tres Marias Original Pansitan,,120.9942784,14.1516997,,,Santa Rosa - Tagaytay Road,regional,high,0963 607 5004,,,,,,,,,,,,,,,,,,,,,
node/2706587209,Tagaytay,4120,,restaurant,,Morielli's,,120.9837303,14.1247771,,,Saint Francis Drive,"Filipino,_Chinese,_Italian, American and Mexican.",low,0919 089 6625,,,,60,07:00-20:00,,,,,,,,,,,,,,,,
node/3268230837,,,,restaurant,,Villa Khristalene Resort Restaurant,,120.9797147,14.0868267,,,"Leynes, Talisay, Luzon 4220 Philippines",filipino,high,,,,,,,Schadow1 Expeditions,,,,,,,,,,,,,,,
node/3438226211,,,,restaurant,,The Domaine,,120.9629662,14.1358909,,,,international,low,,,,,,,mma,,,,,,,,,,,,,,,
node/3500445927,,,,restaurant,,Kaye Ryan Grill,,120.9805163,14.1259777,,,"Tourism Ave, Tagaytay City, Philippines",regional,medium,(02) 359 6778,,,,,,,,,,,,,,,,,,,,,
node/3590396158,Tagaytay,4120,,restaurant,,Sumosam,,120.9438847,14.0999452,Tower 3,SM Wind Residences,"G/F Wind Residences Condominium Tower 3, Tagaytay, Calabarzon, Philippines",japanese,medium,0926 690 7592,,,,,,Schadow1 Expeditions,0,,,,,,,,,,,,,,
node/3590396701,Tagaytay,4120,,restaurant,,Weber's Delicatessen,,120.9440863,14.1000054,Tower 3,SM Wind Residences,"103 Emilio Aguinaldo Highway Maharlika West SM Wind Residences Tower 3 Tagaytay, Cavite Philippines",sandwich,medium,046-4239628,,,,,,Schadow1 Expeditions,0,Unit 103,+63 (915) 4608578,http://www.webersdeliph.com,,,,,,,,,,,
node/3590579251,Tagaytay,4120,,restaurant,,Ersao Taiwanese Cuisine,,120.9431422,14.099198,Tower 1,SM Wind Residences,"The Strip SM Wind, Tagaytay, Calabarzon, Philippines",Taiwanese,high,046 416 9826,,,,,,Schadow1 Expeditions,0,,,,,,,,,,,,,,
node/3686594444,Buho,,,restaurant,,Nanay Cirilas Kapeng Barako,,120.9560904,14.1355392,,,"Mayor's Drive Mendez Crossing East, Tagaytay, Luzon 4126 Philippines",Filipino,medium,0922 291 3869,,,,,,,,53,+63 917 585 8539,,only,,,,,,,,,,
node/3782018406,,,,restaurant,,Circle Galaxy,,120.9623115,14.1152848,,,"Calamba Rd, Tagaytay, Calabarzon, Philippines",filipino/asian,low,0921 509 2210,,,,,,,,,,,,,,,,,,,,,
node/3782018407,Tagaytay,,,restaurant,,Papprito,,120.9623458,14.1153251,,,"Unit 2B-4 Grandview Complex, San Jose Tagaytay Rotunda, Tagaytay, Luzon 4120 Philippines",filipino/asian,high,046 544 0994,,,,,Mo-Fr 09:00-22:00; Sa-Su 08:00-22:00,,,,63465440994,,,,,,,,,,,,
node/3782019631,,,,restaurant,,Pahimis Restaurant,,120.9593571,14.1233747,,,"KM 55 E. Aguinaldo Highway, Tagaytay, Calabarzon, Philippines, 4120",filipino,high,24130468,,,,,,,,,,,,,,,,,,,,,
node/3782019782,,,,restaurant,,Phantom Restaurant,,120.9580018,14.1277002,,,,asian,low,,,,,,,,,,,,,,,,,,,,,,
node/3811351409,,,,restaurant,,LZM Restautant,,120.9512368,14.1031384,,,"Magallanes square Tagaytay city, Tagaytay City, Philippines",filipino,high,0927 792 2600,,,,,,,,,,,,,,,,,,,,,
node/3811351411,,,,restaurant,,Don Juan Bulalo,,120.9509156,14.1027579,,,"5X4V+XMQ, Silang City, 156 Santa Rosa - Tagaytay Rd, Pasong Langka Santa Rosa - Tagaytay Rd, Silang, Calabarzon, Philippines",filipino,high,0917 445 0001,,,,,,,,,,,,,,,,,,,,,
node/3811351413,,,,restaurant,,Cesar's Grill,,120.9510559,14.1029491,,,"Magallanes Square Comples, Tagaytay, Calabarzon, Philippines, 4120",filipino,low,0927 915 8935,,,,,,,,,,,,,,,,,,,,,
node/4144282691,,,,restaurant,,Ronamar Restaurant,,120.9472445,14.1019534,,,"Mahogany Avenue Corner A. Cruz Herrera Street, Tagaytay, Calabarzon, Philippines",filipino,high,046 487 1206,,,,,,,,,,,,,,,,,,,,,
node/4361922694,,,,restaurant,,Kusina tropikal,,120.9628375,14.1156934,,,"4X87+843, Tagaytay - Calamba Rd, Tagaytay, Calabarzon, Philippines",tropical,medium,46 544 0305,,,,,,,,,,,,,,,,,,,,,
node/4531028090,,,,restaurant,,Ridge Park Kainan sa Kubo,,120.994742,14.154505,,,"Maharlika West, Tagaytay, Luzon 4120 Philippines",kainan,high,046 423 3765,,,,,,,,,,,,,,,,,,,,,
node/4545737090,,,,restaurant,,Clearwater Resthouse,,120.9491758,14.1021225,,,"KM 58 General Emilio Aguinaldo Highway, Maharlika East , Tagaytay City, Philippines",cafe,high,(046) 483 5307,,,,,,,,,,,,Clearwater Resthouse,,,,,,,,,
node/4575040089,,,,restaurant,,Balay Dako Tagaytay,,120.9514676,14.1017363,,,"4120 Tagaytay-Nasugbu Hwy, Tagaytay City, Philippines",filipino,high,0923 726 6290,,,,,,,,,,,,Balay Dako,,,,,,,,,
node/4575040090,,,,restaurant,,Bag of Beans,,120.95697,14.1091341,,,"115 Aguinaldo Highway, Mendez Crossing West, Tagaytay City, Philippines",cafe,high,0917 866 6169,,,,,,,,,,,,Bag of Beans,,,,,,,,,
node/4699123594,,,,restaurant,,RSM Lutong Bahay,,120.9611759,14.117362,,,"222 Santa Rosa - Tagaytay Rd, Tagaytay, Cavite",filipino,high,9431315543,,,,,,,,,,,,,,,,,,,,,
node/4719648489,,,,restaurant,,Siglo Modern Filipino ,,120.996745,14.1259469,,,"3500 Calamba Road, Sungay East, Tagaytay City, Philippines",filipino,high,0917 631 1546,,,,,,,,,,,,,,,,,,,,,
node/4921569021,,,,restaurant,,Sport Club Restaurant,,121.0391532,14.1465507,,,,regional,medium,,,,,,,,,,,,,Sport Club Restaurant,,,,,,,,,
node/5017308423,,,,restaurant,,Don Juan Bulalo Restaurant,,120.9954583,14.1577517,,,"5X4V+XMQ, Silang City, 156 Santa Rosa - Tagaytay Rd, Pasong Langka Santa Rosa - Tagaytay Rd, Silang, Calabarzon, Philippines",filipino,high,0917 445 0001,,,,,,,,,,,,Don Juan Bulalo Restaurant,,,,,,,,,
node/5087783867,,,,restaurant,,Kuya Rex Korean Restaurant,,120.951104,14.1032105,,,"152 Tagaytay - Nasugbu Hwy, Tagaytay, Calabarzon, Philippines",korean,high,0939 921 4868,,,,,,,,,,,,Kuya Rex Testaurant,,,,,,,,,
node/5087786021,,,,restaurant,,1st Colonial,,120.9510592,14.1032,,,"4X32+7CF, Tagaytay, Calabarzon, Philippines",asian,high,046 423 2624,,,,,,,,,,,,First Colonial,,,,,,,,,
node/5418394222,,,,restaurant,,Moriellie's Restaurant and Bar,,120.9700196,14.1259868,,,"Tagaytay Calamba Rd. cor St. Francis Drive. Tagaytay City, Philippines",filipino,high,0919 089 6627,,,,,,,,,,,,,,,,,,,,,
node/5512889523,,,,restaurant,,Rancho Vista,,120.9401348,14.0958507,,,"3WWR+62R, Ipil St, Tagaytay, Calabarzon, Philippines",filipino,high,0998 531 0878,,,,,,,,,,,,,,,,,,,,,
node/5561025023,,,,restaurant,,Bulalo Point,,121.0172526,14.0920565,,,"Nasugbu -Tagaytay Road, Tagaytay, Luzon Philippines",filipino,low,0921 734 1876,,,,,,,,,,,,,,,,,,,,,
node/5583529822,,,,restaurant,,Zedrick's Lomi House,,121.0372857,14.0942584,,,"Talisay - Tanauan Rd, Talisay, Batangas",filipino,low,0928 914 5798,,,,,,,,,,,,,,,,,,,,,
node/6089223485,,,,restaurant,,jaytees home of the best bulalo,,120.947894,14.1014521,,,"Maharlika West, Tagaytay City, Philippines",filipino,high,0963 484 8914,,,,,,,,,,,,,,,,,,,,,
node/6154684289,,,,restaurant,,Manny & Dina' Eatery,,120.9566672,14.1482493,,,,regional,high,,,,,,,,,,,,,,,,,,,,,,
node/6237406785,,,,restaurant,,Asiong's,,120.9721252,14.1446571,,,"Buenavista Street, Bucal, Silang, Philippines",filipino,high,0926 713 9400,,,,,,,,4455,+63 926 713 9400,,,,,,,,,,,,
node/6341261585,,,,restaurant,,Ridge Park,,120.9448041,14.0990268,,,"Maharlika West, Tagaytay City, Philippines",,high,(046) 423 3765,,,,,,,,,,,,,,,,,,,,,
node/6435952242,,,,restaurant,,Bulaluhan sa Dapdap West,,121.0217955,14.1459169,,,,bulalo;beef,high,,,,,,,,,,,,,,,,,,,,,,
node/6950287666,,,,restaurant,,J & J Kitchenette,,120.9555131,14.137491,,,"Purok 35 guinhawa south maglabe drive , Tagaytay City, Philippines",breakfast,low,0956-885-4657,,,,,,,,,,,,,,,,,,,,,
node/6950306502,,,,restaurant,,Madam Inday's Tapsihan,,120.9555184,14.1364724,,,"Buho Silang Aguinaldo high way, Silang, Calabarzon, Philippines, 4118",filipino,high,0966 677 1353,,,,,,,,,,,,,,,,,,,,,
node/7056073386,,,,restaurant,,Mr.Kimchi,,120.963799,14.1167345,,,"6B Calamba Road, Barangay San Jose , Tagaytay City, Philippines",korean,low,0917 122 0441,,,,,,,,,,,,,,,,,,,,,
node/7266243785,,,,restaurant,,Bayani Tapsi,,120.9809915,14.1272028,,,"4XGJ+R99, Tagaytay, Calabarzon, Philippines",filipino,low,0966 192 7621,,,,,,,,,,,,,,,,,,,,,
node/8794214020,,,,restaurant,,Farmers Table,,120.9611695,14.1235492,,,"Nurture Wellness Village, Tagaytay City, Philippines",filipino,low,0960 928 3142,,,,,,,,,,,,,,,,,,,,,
node/9136544417,,,,restaurant,,Camp Hayahay,,121.0044636,14.0985753,,,"Along Tagaytay-Sungay Road Talisay, Batangas",beef_bowl;chicken;filipino;fish_and_chips,low,,,,,,,,,,,,,,,,,,,,,,
node/9209634217,,,,restaurant,,364 Alpha Bulalohan Tagaytay Curve View,,121.02024,14.1443012,,,Tagaytay - Calamba Road,filipino,low,𝟬𝟵𝟲𝟴𝟳𝟬𝟰𝟮𝟯𝟵𝟳,,,,,,,,,,,,,,,,,,,,,
node/9453261452,Tagaytay,4120,Cavite,restaurant,,Wingyard Tagaytay,,120.9400796,14.0956026,,Cosmos Commercial Bldg,"Wingyard Bistro Tagaytay - Cosmos Commercial Bldg. Zone 9 C.M. Delos Reyes Ave. Ipil St. Maharlika West , Tagaytay City, Philippines",chicken;unlimited,medium,9982621688,,,,,,Schadow1 Expeditions,2,,,,,,3,10/22/2022,,,,,,,
node/9659668181,Tagaytay,4118,,restaurant,,Amada's Tree Haus,,120.9594747,14.1349516,,,"Marayag Street, Purok 5 Barangay Malabag, Silang, Cavite",asian,medium,0915 027 2376,,,,,,,,496-F,6.39E+11,https://www.facebook.com/AmadasTreeHaus,,,,,,,,,,,
node/9948656338,,,,restaurant,,T-Bone King Steak and Grill,,120.9569304,14.1526384,,,"1F-36 Ayala Malls Serin, Tagaytay - Nasugbu Hwy, Tagaytay, Calabarzon, Philippines",regional,medium,0956 917 4923,,,,,,,,,,,,,,,,,,,,,
node/9948683517,Silang,4118,,restaurant,,Hidden Charm,,120.9557186,14.1557319,,,M. Loyola Street,regional,low,,,,,,Mo-Sa 09:00-18:00,,,,,,,,,,,,,,,,
node/10123000800,Tagaytay,4120,,restaurant,,T'viand Specials: Bulalo on the Hill,,120.939539,14.1257016,,,Tagaytay Bypass Road,filipino;regional,high,0966 487 2293,,,,,Mo-Fr 10:00-21:00; Sa-Su 09:00-22:00,,,,6.40E+11,,,,,,https://www.facebook.com/tviandspecials/,,,,,,
node/10123858653,Tagaytay,4120,Cavite,restaurant,,Cali Pizza,,120.9400709,14.0955506,,Cosmos Commercial Bldg,"1st and 2nd floor COSMOS Commercial Building, Ipil St, Tagaytay, Calabarzon, Philippines",pizza,medium,0926 233 8296,,,,,Mo-Su 09:00-21:00,Schadow1 Expeditions,1,,,,,,2,10/22/2022,,,,,,,
node/10297680717,,,,restaurant,,Ka Tunying's (Tagaytay Branch),,120.9435766,14.0979796,,,"Vista Point Nasugbu Highway Unid D, Tagaytay, Luzon 4120 Philippines",filipino,medium,0917 179 0721,,,,,,,,,9636732659,,,,,,,katunyingsph@gmail.com,wlan,,,,
node/10813887609,Tagaytay,4120,,restaurant,,Gallego Pares Pares,,120.987977,14.1165665,,,Ligaya Drive,regional,low,0916-723-5828,,,,,,,,,,,,,,,,,,yes,,,
node/10826309005,,,,restaurant,,Zushi Me,,120.9624,14.1154027,,,"Grandview Complex, Rotonda, Tagaytay City, Philippines",japanese,medium,0966 487 3098,,,,,Mo-Su 09:00-01:00,,,,+63 966 487 3098,,,,,,zushimeLakeView,,wlan,,,,
node/10826337781,,,,restaurant,,Heneral Sisig,,120.9623847,14.1153658,,,"Grandview Complex, Tagaytay Rotunda, Tagaytay City, Philippines",filipino,low,(046) 889 0135,,,,,,,,,,,,,,,,,,,4/20/2023,,
node/11001245554,,4220,,restaurant,,Anniebet Resort,,120.9766591,14.0881427,,,190 Leynes Talisay Batangas 4220,,high,,,,,,,,,190,,,,,,,,,,,,,
node/11027799206,,,,restaurant,,Dahon @ Mesa Tagaytay,,120.9457465,14.1005416,,,"105 Nasugbu Hiway Tagaytay, Tagaytay City, Philippines",filipino,medium,0917 190 8877,,,,,,,,,,,,,,,,,,,,,
node/11256975098,,,,restaurant,,Morgano Restaurant,,120.960525,14.1254043,,,"9003 Arnoldus Road, Tagaytay City, Philippines",filipino,low,0963 217 4686,,,,,,,,,,,,,,,https://www.facebook.com/morganorestaurant,,,,,https://www.instagram.com/morganorestaurant,+63 963 217 4686
node/11290055369,,,,restaurant,,Farmers' Table,,120.9416188,14.1251544,,,"Nurture Wellness Village 7310 Pulong Sagingan, Tagaytay",filipino,high,0960 928 3142,,,,,,,,,,,,,,,,,,,,,
node/11503322069,,,,restaurant,,RSM Lutong Bahay,,120.9823977,14.1310413,,,"Aguinaldo Highway Maharlika East, Tagaytay, Calabarzon, Philippines",filipino,high,046 483 1866,,,,,,,,,,,,,,,,,,,,,
node/11503338870,,,,restaurant,,Melencio's Tagaytay,,121.0008085,14.1289033,,,"Calamba road, Brgy Iruhin West, Tagaytay City, Philippines",,high,0917 891 8019,,,,,,,,,,,,,,,,,,,,,
